row_id,order_id,order__date,ship__date,ship__mode,customer_id,customer__name,segment,country,city,state,postal__code,region,product_id,category,sub-_category,product__name,sales
47,CA-2015-146703,20-10-2015,25-10-2015,Second Class,PO-18865,patrick o'donnell,Consumer,United States,Westland,Michigan,48185.0,Central,OFF-ST-10001713,Office Supplies,Storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96
48,CA-2017-169194,20-06-2017,25-06-2017,Standard Class,LH-16900,lena hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-AC-10002167,Technology,Accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0
49,CA-2017-169194,20-06-2017,25-06-2017,Standard Class,LH-16900,lena hernandez,Consumer,United States,Dover,Delaware,19901.0,East,TEC-PH-10003988,Technology,Phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8
50,CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,darren powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-BI-10004410,Office Supplies,Binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22
51,CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,darren powers,Consumer,United States,New Albany,Indiana,47150.0,Central,OFF-LA-10002762,Office Supplies,Labels,avery 485,75.18
52,CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,darren powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-FU-10001706,Furniture,Furnishings,longer-life soft white bulbs,6.16
53,CA-2016-115742,18-04-2016,22-04-2016,Standard Class,DP-13000,darren powers,Consumer,United States,New Albany,Indiana,47150.0,Central,FUR-CH-10003061,Furniture,Chairs,"global leather task chair, black",89.99
54,CA-2017-105816,11-12-2017,17-12-2017,Standard Class,JM-15265,janet molinari,Corporate,United States,New York City,New York,10024.0,East,OFF-FA-10000304,Office Supplies,Fasteners,advantus push pins,15.26
55,CA-2017-105816,11-12-2017,17-12-2017,Standard Class,JM-15265,janet molinari,Corporate,United States,New York City,New York,10024.0,East,TEC-PH-10002447,Technology,Phones,at&t cl83451 4-handset telephone,1029.95
56,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,home/office personal file carts,208.56
57,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,xerox 232,32.4
58,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,novimex turbo task chair,319.41
59,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"array parchment paper, assorted colors",14.56
60,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0
61,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,plastic binding combs,48.48
62,CA-2017-111682,17-06-2017,18-06-2017,First Class,TB-21055,ted butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,prang dustless chalk sticks,1.68
63,CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,kunst miller,Consumer,United States,Los Angeles,California,90004.0,West,TEC-AC-10004633,Technology,Accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98
64,CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,kunst miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-BI-10001078,Office Supplies,Binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824
65,CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,kunst miller,Consumer,United States,Los Angeles,California,90004.0,West,OFF-PA-10003892,Office Supplies,Paper,xerox 1943,146.73
66,CA-2016-135545,24-11-2016,30-11-2016,Standard Class,KM-16720,kunst miller,Consumer,United States,Los Angeles,California,90004.0,West,FUR-FU-10000397,Furniture,Furnishings,luxo economy swing arm lamp,79.76
67,US-2016-164175,30-04-2016,05-05-2016,Standard Class,PS-18970,paul stevenson,Home Office,United States,Chicago,Illinois,60610.0,Central,FUR-CH-10001146,Furniture,Chairs,"global value mid-back manager's chair, gray",213.115
68,CA-2015-106376,05-12-2015,10-12-2015,Standard Class,BS-11590,brendan sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,OFF-AR-10002671,Office Supplies,Art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024
69,CA-2015-106376,05-12-2015,10-12-2015,Standard Class,BS-11590,brendan sweed,Corporate,United States,Gilbert,Arizona,85234.0,West,TEC-PH-10002726,Technology,Phones,nettalk duo voip telephone service,167.968
70,CA-2017-119823,04-06-2017,06-06-2017,First Class,KD-16270,karen daniels,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88
71,CA-2017-106075,18-09-2017,23-09-2017,Standard Class,HM-14980,henry macallister,Consumer,United States,New York City,New York,10009.0,East,OFF-BI-10004654,Office Supplies,Binders,avery binding system hidden tab executive style index sets,4.616
72,CA-2018-114440,14-09-2018,17-09-2018,Second Class,TB-21520,tracy blumstein,Consumer,United States,Jackson,Michigan,49201.0,Central,OFF-PA-10004675,Office Supplies,Paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05
73,US-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,joel eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-CH-10000513,Furniture,Chairs,high-back leather manager's chair,831.936
74,US-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,joel eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-FU-10003708,Furniture,Furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04
75,US-2016-134026,26-04-2016,02-05-2016,Standard Class,JE-15745,joel eaton,Consumer,United States,Memphis,Tennessee,38109.0,South,OFF-ST-10004123,Office Supplies,Storage,safco industrial wire shelving system,72.784
76,US-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,ken brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-BI-10004182,Office Supplies,Binders,economy binders,1.248
77,US-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,ken brennan,Corporate,United States,Houston,Texas,77041.0,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" cubicle wall clock, black",9.708
78,US-2018-118038,09-12-2018,11-12-2018,First Class,KB-16600,ken brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-ST-10000615,Office Supplies,Storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24
79,US-2015-147606,26-11-2015,01-12-2015,Second Class,JE-15745,joel eaton,Consumer,United States,Houston,Texas,77070.0,Central,FUR-FU-10003194,Furniture,Furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3
80,CA-2017-127208,12-06-2017,15-06-2017,First Class,SC-20770,stewart carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16
81,CA-2017-127208,12-06-2017,15-06-2017,First Class,SC-20770,stewart carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-BI-10002309,Office Supplies,Binders,avery heavy-duty ezd  binder with locking rings,16.74
82,CA-2015-139451,12-10-2015,16-10-2015,Standard Class,DN-13690,duane noonan,Consumer,United States,San Francisco,California,94122.0,West,OFF-AR-10002053,Office Supplies,Art,"premium writing pencils, soft, #2 by central association for the blind",14.9
83,CA-2015-139451,12-10-2015,16-10-2015,Standard Class,DN-13690,duane noonan,Consumer,United States,San Francisco,California,94122.0,West,OFF-ST-10002370,Office Supplies,Storage,"sortfiler multipurpose personal file organizer, black",21.39
84,CA-2016-149734,03-09-2016,08-09-2016,Standard Class,JC-16105,julie creighton,Corporate,United States,Durham,North Carolina,27707.0,South,OFF-EN-10000927,Office Supplies,Envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984
85,US-2018-119662,13-11-2018,16-11-2018,First Class,CS-12400,christopher schild,Home Office,United States,Chicago,Illinois,60623.0,Central,OFF-ST-10003656,Office Supplies,Storage,safco industrial wire shelving,230.376
86,CA-2018-140088,28-05-2018,30-05-2018,Second Class,PO-18865,patrick o'donnell,Consumer,United States,Columbia,South Carolina,29203.0,South,FUR-CH-10000863,Furniture,Chairs,novimex swivel fabric task chair,301.96
87,CA-2018-155558,26-10-2018,02-11-2018,Standard Class,PG-18895,paul gonzalez,Consumer,United States,Rochester,Minnesota,55901.0,Central,TEC-AC-10001998,Technology,Accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99
88,CA-2018-155558,26-10-2018,02-11-2018,Standard Class,PG-18895,paul gonzalez,Consumer,United States,Rochester,Minnesota,55901.0,Central,OFF-LA-10000134,Office Supplies,Labels,avery 511,6.16
89,CA-2017-159695,05-04-2017,10-04-2017,Second Class,GM-14455,gary mitchum,Home Office,United States,Houston,Texas,77095.0,Central,OFF-ST-10003442,Office Supplies,Storage,eldon portable mobile manager,158.368
90,CA-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,jim sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-AR-10004930,Office Supplies,Art,turquoise lead holder with pocket clip,20.1
91,CA-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,jim sink,Corporate,United States,Los Angeles,California,90036.0,West,TEC-PH-10004093,Technology,Phones,panasonic kx-ts550,73.584
92,CA-2017-109806,17-09-2017,22-09-2017,Standard Class,JS-15685,jim sink,Corporate,United States,Los Angeles,California,90036.0,West,OFF-PA-10000304,Office Supplies,Paper,xerox 1995,6.48
93,CA-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,karl braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-PA-10003177,Office Supplies,Paper,xerox 1999,12.96
94,CA-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,karl braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,FUR-FU-10003799,Furniture,Furnishings,"seth thomas 13 1/2"" wall clock",53.34
95,CA-2016-149587,31-01-2016,05-02-2016,Second Class,KB-16315,karl braun,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-BI-10002852,Office Supplies,Binders,ibico standard transparent covers,32.96
96,US-2018-109484,06-11-2018,12-11-2018,Standard Class,RB-19705,roger barcio,Home Office,United States,Portland,Oregon,97206.0,West,OFF-BI-10004738,Office Supplies,Binders,flexible leather- look classic collection ring binder,5.682
97,CA-2018-161018,09-11-2018,11-11-2018,Second Class,PN-18775,parhena norris,Home Office,United States,New York City,New York,10009.0,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 diameter round wall clock,96.53
98,CA-2018-157833,17-06-2018,20-06-2018,First Class,KD-16345,katherine ducich,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10001721,Office Supplies,Binders,trimflex flexible post binders,51.312
99,CA-2017-149223,06-09-2017,11-09-2017,Standard Class,ER-13855,elpida rittenbach,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,OFF-AP-10000358,Office Supplies,Appliances,fellowes basic home/office series surge protectors,77.88
100,CA-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,rick bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-PA-10003256,Office Supplies,Paper,avery personal creations heavyweight cards,64.624
101,CA-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,rick bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,TEC-AC-10001767,Technology,Accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976
102,CA-2017-158568,29-08-2017,02-09-2017,Standard Class,RB-19465,rick bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-BI-10002609,Office Supplies,Binders,avery hidden tab dividers for binding systems,1.788
103,CA-2017-129903,01-12-2017,04-12-2017,Second Class,GZ-14470,gary zandusky,Consumer,United States,Rochester,Minnesota,55901.0,Central,OFF-PA-10004040,Office Supplies,Paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92
104,US-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,lena cacioppo,Consumer,United States,Aurora,Colorado,80013.0,West,TEC-AC-10001552,Technology,Accessories,logitech k350 2.4ghz wireless keyboard,238.896
105,US-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,lena cacioppo,Consumer,United States,Aurora,Colorado,80013.0,West,FUR-FU-10004006,Furniture,Furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36
106,US-2016-156867,13-11-2016,17-11-2016,Standard Class,LC-16870,lena cacioppo,Consumer,United States,Aurora,Colorado,80013.0,West,OFF-BI-10002794,Office Supplies,Binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882
107,CA-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,janet martin,Consumer,United States,Charlotte,North Carolina,28205.0,South,TEC-AC-10003499,Technology,Accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112
108,CA-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,janet martin,Consumer,United States,Charlotte,North Carolina,28205.0,South,TEC-PH-10002844,Technology,Phones,speck products candyshell flip case,27.992
109,CA-2018-119004,23-11-2018,28-11-2018,Standard Class,JM-15250,janet martin,Consumer,United States,Charlotte,North Carolina,28205.0,South,OFF-AR-10000390,Office Supplies,Art,newell chalk holder,3.304
110,CA-2016-129476,15-10-2016,20-10-2016,Standard Class,PA-19060,pete armstrong,Home Office,United States,Orland Park,Illinois,60462.0,Central,TEC-AC-10000844,Technology,Accessories,logitech gaming g510s - keyboard,339.96
111,CA-2018-146780,25-12-2018,30-12-2018,Standard Class,CV-12805,cynthia voltz,Corporate,United States,New York City,New York,10035.0,East,FUR-FU-10001934,Furniture,Furnishings,magnifier swing arm lamp,41.96
112,CA-2017-128867,03-11-2017,10-11-2017,Standard Class,CL-12565,clay ludtke,Consumer,United States,Urbandale,Iowa,50322.0,Central,OFF-AR-10000380,Office Supplies,Art,"hunt powerhouse electric pencil sharpener, blue",75.96
113,CA-2017-128867,03-11-2017,10-11-2017,Standard Class,CL-12565,clay ludtke,Consumer,United States,Urbandale,Iowa,50322.0,Central,OFF-BI-10003981,Office Supplies,Binders,"avery durable plastic 1"" binders",27.24
114,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,ryan crowe,Consumer,United States,Columbus,Ohio,43229.0,East,OFF-FA-10000621,Office Supplies,Fasteners,"oic colored binder clips, assorted sizes",40.096
115,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,ryan crowe,Consumer,United States,Columbus,Ohio,43229.0,East,OFF-EN-10002600,Office Supplies,Envelopes,"redi-strip #10 envelopes, 4 1/8 x 9 1/2",4.72
116,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,ryan crowe,Consumer,United States,Columbus,Ohio,43229.0,East,OFF-PA-10004965,Office Supplies,Paper,xerox 1921,23.976
117,CA-2015-115259,25-08-2015,27-08-2015,Second Class,RC-19960,ryan crowe,Consumer,United States,Columbus,Ohio,43229.0,East,OFF-EN-10002504,Office Supplies,Envelopes,"tyvek  top-opening peel & seel envelopes, plain white",130.464
118,CA-2016-110457,02-03-2016,06-03-2016,Standard Class,DK-13090,dave kipp,Consumer,United States,Seattle,Washington,98103.0,West,FUR-TA-10001768,Furniture,Tables,hon racetrack conference tables,787.53
119,US-2016-136476,05-04-2016,10-04-2016,Standard Class,GG-14650,greg guthrie,Corporate,United States,Bristol,Tennessee,37620.0,South,OFF-BI-10003650,Office Supplies,Binders,gbc docubind 300 electric binding machine,157.794
120,CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,steven cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,FUR-FU-10002157,Furniture,Furnishings,artistic insta-plaque,47.04
121,CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,steven cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-BI-10003910,Office Supplies,Binders,dxl angle-view binders with locking rings by samsill,30.84
122,CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,steven cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-ST-10000777,Office Supplies,Storage,"companion letter/legal file, black",226.56
123,CA-2017-103730,12-06-2017,15-06-2017,First Class,SC-20725,steven cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-EN-10002500,Office Supplies,Envelopes,globe weis peel & seel first class envelopes,115.02
